enterprise,record_num_mf_ctf,state_fips,cbsa_metro_code,county_fips,tract_2020,tract_minority_pct,tract_income_med,ami_local,tract_income_ratio,ami_hud,upb_acq,purpose_ctf,seller_type_mf_ctf,fed_guarantee_ctf,lien_status,ltv,same_year_acq,term_orig,units_num_cat,rate_orig,upb_orig,property_value,term_prepay_penalty,balloon,io,neg_am,non_amort_other,afford_units_pct,construct_method,tract_rural,county_lower_ms_delta,county_mid_appalachia,county_persistent_poverty,area_concentrated_poverty,area_high_opp,tract_colonias
1,10002201,48,19100,113,010904,97.52,46488,99957,0.4651,107300,23305000,1,1,1,1,71.20,1,84,5,5.410,23305000,32745000,81,1,1,9,9,0,1,0,0,0,0,1,0,0
1,10002202,06,31080,037,461600,88.04,72028,101056,0.7128,105700,18955000,9,1,1,2,74.30,1,94,5,7.630,18955000,203005000,91,1,9,9,9,100,1,0,0,0,0,0,0,0
1,10002203,40,99999,119,010202,39.55,95526,71757,1.3312,77200,13475000,1,1,1,1,66.70,1,120,5,5.860,13475000,20205000,117,1,1,9,9,0,1,1,0,0,1,1,0,0
1,10002204,06,99999,005,000401,23.73,95410,95970,0.9942,101900,1795000,7,3,1,1,65.90,2,144,2,5.830,1795000,4275000,141,1,9,9,9,98,1,1,0,0,0,0,1,0
1,10002205,17,16980,031,061901,29.57,149803,106055,1.4125,109800,5545000,7,1,1,1,60.20,1,144,2,5.250,13015000,9205000,141,1,1,9,9,0,1,0,0,0,0,0,1,0
1,10002206,37,99999,165,010102,54.18,55528,67542,0.8221,73300,2225000,1,1,1,1,72.00,1,360,2,6.510,2225000,4965000,357,1,9,9,9,100,1,1,0,0,0,1,0,0
1,10002207,47,16860,065,011444,84.93,49167,82235,0.5979,92100,6015000,1,1,1,1,54.90,1,60,3,6.240,6015000,10955000,57,1,1,9,9,100,1,0,0,0,0,1,0,0
1,10002208,42,37980,045,401502,44.66,87824,108977,0.8059,114700,38255000,2,1,1,1,62.30,1,84,5,5.210,233465000,61505000,81,1,1,9,9,100,1,0,0,0,0,0,0,0
1,10002209,20,99999,037,957100,31.13,35769,76220,0.4693,82700,7745000,1,1,1,1,70.30,1,204,4,5.130,7745000,11015000,201,1,9,9,9,100,1,1,0,0,0,1,0,0
1,10002210,12,27260,031,013504,68.67,68828,88994,0.7734,98000,6625000,7,1,1,1,64.30,1,60,3,5.940,6625000,10315000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002211,36,35620,103,123500,45.72,82719,113844,0.7266,119300,1215000,2,1,1,1,67.70,1,180,1,5.600,7485000,1805000,177,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002212,21,21780,101,020602,22.07,74934,71953,1.0414,81400,6835000,1,1,1,1,65.00,1,120,4,5.740,6835000,10515000,117,1,1,9,9,18,1,0,0,0,0,0,0,0
1,10002213,29,44180,077,001401,25.34,39411,75885,0.5194,80500,14435000,1,1,1,1,75.00,1,60,5,6.060,14435000,19255000,57,1,1,9,9,0,1,0,0,0,0,1,0,0
1,10002214,05,22220,143,010512,35.72,59804,88653,0.6746,94400,27535000,7,1,1,1,62.40,1,120,5,5.270,27535000,44105000,117,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002215,16,38540,005,001102,20.01,86488,79316,1.0904,84200,21075000,7,1,1,1,64.40,2,120,5,5.610,21075000,32715000,117,1,1,9,9,0,1,0,0,0,0,0,1,0
1,10002216,12,37340,009,064123,29.69,63942,87701,0.7291,99700,13895000,1,1,1,1,65.00,1,60,5,4.700,13895000,21375000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002217,48,12420,453,000204,25.70,250001,115204,2.1701,126000,6155000,2,5,1,1,52.80,1,84,3,5.540,28045000,12355000,81,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002218,49,41620,035,111602,51.88,49892,106248,0.4696,115400,7145000,9,1,1,2,56.30,1,53,5,8.750,7145000,74975000,50,1,9,9,9,0,1,0,0,0,0,1,0,0
1,10002219,35,42140,049,001202,78.27,48377,84058,0.5755,91500,7715000,1,1,1,1,74.80,1,120,4,5.550,17335000,10405000,117,1,1,9,9,98,1,0,0,0,0,1,0,0
1,10002220,49,36260,057,200900,44.07,52625,102427,0.5138,109800,6255000,7,1,1,1,26.80,1,120,5,6.280,6255000,23335000,117,1,1,9,9,0,1,0,0,0,0,1,0,0
1,10002221,12,33100,011,070504,88.75,34441,80554,0.4276,87600,14325000,7,1,1,1,55.70,1,60,4,6.320,14325000,25745000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002222,47,34980,037,018904,52.26,82688,96905,0.8533,104700,10955000,1,1,1,1,75.00,1,60,4,5.690,10955000,14605000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
