enterprise,record_num_mf_ctf,state_fips,cbsa_metro_code,county_fips,tract_2020,tract_minority_pct,tract_income_med,ami_local,tract_income_ratio,ami_hud,upb_acq,purpose_ctf,seller_type_mf_ctf,fed_guarantee_ctf,lien_status,ltv,same_year_acq,term_orig,units_num_cat,rate_orig,upb_orig,property_value,term_prepay_penalty,balloon,io,neg_am,non_amort_other,afford_units_pct,construct_method,tract_rural,county_lower_ms_delta,county_mid_appalachia,county_persistent_poverty,area_concentrated_poverty,area_high_opp,tract_colonias
2,20000123,41,38900,051,002203,37.40,130341,110489,1.1797,116900,2925000,1,1,1,1,62.30,1,60,1,5.020,2925000,4705000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000124,02,11260,020,001200,21.74,174091,110687,1.5728,117200,3125000,1,5,1,1,65.00,1,84,1,5.650,3125000,4805000,84,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000125,12,99999,087,971800,57.65,76122,95165,0.7999,97500,74755000,1,1,1,1,62.61,1,120,5,6.186,74755000,119405000,12,1,1,9,9,100,1,1,0,0,0,0,0,0
2,20000126,32,29820,003,005103,51.35,62418,82358,0.7579,87800,9585000,7,1,1,1,47.68,1,60,4,5.780,9585000,20105000,36,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000127,48,31180,303,000700,73.61,71420,80497,0.8872,85800,2685000,2,3,1,1,71.10,1,162,3,4.360,2705000,3205000,0,1,9,9,9,84,1,0,0,0,0,0,0,0
2,20000128,09,14860,120,257200,89.38,58931,135149,0.4360,145700,1525000,7,1,1,1,69.27,1,60,1,6.440,1525000,2205000,60,1,1,9,9,0,1,0,0,0,0,1,0,0
2,20000129,41,38900,005,024402,29.03,105778,110489,0.9574,116900,64735000,7,1,1,1,64.73,1,60,5,5.400,64735000,100005000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000130,06,31080,059,011714,73.52,112353,101056,1.1118,105700,83425000,2,1,1,1,58.42,1,60,5,5.440,83425000,142805000,57,1,1,9,9,0,1,0,0,0,0,0,1,0
2,20000131,06,40140,065,044929,27.92,92670,90585,1.0230,97500,41505000,7,1,1,1,66.72,1,120,4,5.560,41505000,62205000,114,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000132,06,31080,037,601302,93.09,71571,101056,0.7082,105700,2285000,2,1,1,4,61.60,2,360,1,3.600,2305000,3755000,59,9,1,9,9,0,1,0,0,0,0,0,0,0
2,20000133,47,34980,037,018905,55.51,80060,96905,0.8262,104700,59525000,7,3,1,1,52.08,1,84,5,5.939,59525000,114305000,12,1,1,9,9,0,1,0,0,0,0,0,0,0
2,20000134,26,19820,099,242100,51.78,73438,93779,0.7831,97300,1125000,2,3,1,1,64.29,1,60,1,6.180,1125000,1755000,36,1,9,9,9,0,1,0,0,0,0,0,0,0
